+MEMORIA: 25 # Número de bloques de memoria
+DIRECCIONES: 100 # Número de direcciones por página
+COLORES: 1,0 ; 2,0 ; 3,0 ; 4,0 ; 5,0 ; 6,0 ; 7,0 ; 23,0 ; 88,0 ; 92,0 ; 123,0 ; 147,0 ; 202,0 ; 222,0 ; 243,0 # Foreground, Background

# Marcos de Página ; Direcciones Página ; T. Llegada ; (OPCIONAL) ID #

3 ; 98, 131, 222, 341, 400, 599, 674, 765 ; 0 ; nano      # P0
2 ; 7623, 1337, 3301 ; 0 ; top      # P1
6 ; 2, 15, 825, 725, 1925, 2275, 425, 390, 330, 290, 770, 910, 170, 156, 132, 116, 308, 364, 68, 4 ; 1 ; terminal      # P2
5 ; 2279, 6823, 7023, 4035, 9586, 8002, 8514, 957, 8796, 9206 ; 3 ; firefox      # P3
4 ; 3455, 4124, 1530, 9094, 5953, 65, 2051, 592, 6076, 4598 ; 4 ; gnome      # P4
6 ; 1281, 3737, 5629, 9326, 2596, 1351, 8220, 491, 7711, 689 ; 4 ; sshd      # P5
5 ; 8423, 7067, 2464, 9715, 7488, 6586, 223, 9213, 2942, 803 ; 7 ; apache2      # P6
5 ; 9560, 2929, 2109, 9344, 4558, 520, 5290, 2193, 1337, 3416 ; 8 ; mono      # P7
5 ; 8261, 7342, 3086, 4039, 3514, 2185, 6086, 3776, 1730, 3476 ; 24 ; python3      # P8
2 ; 1183, 6065, 1573, 8297, 9469, 8545, 129, 9527, 6757, 7448, 5806, 8359, 5592, 9054 ; 32 ; systemd      # P9
2 ; 1183, 6065, 1573, 8297, 9469, 8545, 129, 9527, 6757, 7448, 5806, 8359 ; 32 ; netns      # P10
2 ; 1183, 6065, 1573, 8297, 9469, 8545, 129, 9527, 6757, 7448 ; 33 ; kthreadd      # P11
2 ; 1183, 6065, 1573, 8297, 9469, 8545, 129, 9527 ; 33 ; mysqld      # P12
6 ; 904, 958, 298, 560, 657, 279, 403, 615, 346, 483, 912, 981, 252, 882 ; 51 ; crypto      # P13
3 ; 223, 42, 979, 486, 769, 236, 980 ; 56 ; perf      # P14
